Titulo,ID,Tipo,Año,Genero
Freelancer,tt0165789,Video Game,2003,Action
Terminator 3: Rise of the Machines,tt0181852,Movie,2003,Action
Plastik Man,tt0200962,Short,2003,Action
A Good Night to Die,tt0203536,Movie,2003,Action
TRON 2.0,tt0208650,Video Game,2003,Action
Den hemlige riddaren II: Återkomsten,tt0218326,Movie,2003,Action
Necro Files 2,tt0227113,Video,2003,Action
Road Dogs,tt0232537,Movie,2003,Action
Split,tt0131597,Movie,2004,Action
Hellboy,tt0167190,Movie,2004,Action
Galleon,tt0211381,Video Game,2004,Action
Vampire Lesbian Kickboxers,tt0235853,Movie,2004,Action
Anji,tt0239235,Movie,2004,Action
Radius,tt0244746,Short,2004,Action
Star Wars: Episode III - Revenge of the Sith,tt0121766,Movie,2005,Action
Fantastic Four,tt0120667,Movie,2005,Action
Ice Queen,tt0228040,Video,2005,Action
Striptease Baby Dolls from Cleveland Meet the Unkillables,tt0228906,Movie,2005,Action
Wilson Chance,tt0244306,Movie,2005,Action
The Karate Dog,tt0270882,TV Movie,2005,Action
Man-Thing,tt0290747,Movie,2005,Action
The Sea Wolf,tt0295590,Movie,2005,Action
Dark Assassin,tt0301265,Movie,2005,Action
Drive Time Murders,tt0306748,TV Movie,2006,Action
Mission: Impossible III,tt0317919,Movie,2006,Action
The Drop,tt0340084,Movie,2006,Action
Detroit,tt0337609,Movie,2006,Action
Meteoro,tt0339382,Movie,2006,Action
The Detonator,tt0345461,Video,2006,Action
Superman Returns,tt0348150,Movie,2006,Action
The Brink,tt0352220,Video,2006,Action
Ghost Rider,tt0259324,Movie,2007,Action
Highlander: The Source,tt0299981,TV Movie,2007,Action
Band of Pirates: Buccaneer Island,tt0305268,Video,2007,Action
Intergalactic Combat,tt0330972,Movie,2007,Action
Die Hard 4.0,tt0337978,Movie,2007,Action
The Chosen One,tt0357545,Movie,2007,Action
D-War,tt0372873,Movie,2007,Action
Harry Potter and the Order of the Phoenix,tt0373889,Movie,2007,Action
Muhomatsu no issho,tt0036177,Movie,2008,Action
The Flyboys,tt0357668,Movie,2008,Action
Babylon A.D.,tt0364970,Movie,2008,Action
The Red Baron,tt0365675,Movie,2008,Action
Indiana Jones and the Kingdom of the Crystal Skull,tt0367882,Movie,2008,Action
Iron Man,tt0371746,Movie,2008,Action
Journey to the Center of the Earth,tt0373051,Movie,2008,Action
Far Cry,tt0400426,Movie,2008,Action
Whiteout,tt0365929,Movie,2009,Action
Sterling: The Secret of the Lost Medallion,tt0373340,Movie,2009,Action
Watchmen,tt0409459,Movie,2009,Action
Harry Potter en de halfbloed prins,tt0417741,Movie,2009,Action
The Haunted World of El Superbeasto,tt0419724,Video,2009,Action
Royal Kill,tt0421237,Movie,2009,Action
Young Alexander the Great,tt0390197,Video,2010,Action
Tekken,tt0411951,Movie,2010,Action
The A-Team,tt0429493,Movie,2010,Action
Segurança Nacional,tt0439801,Movie,2010,Action
Taken by Force,tt0465637,Movie,2010,Action
"Guns, Drugs and Dirty Money",tt0464032,Movie,2010,Action
Komaram Puli,tt0464162,Movie,2010,Action
Cowboys & Aliens,tt0409847,Movie,2011,Action
Real Steel,tt0433035,Movie,2011,Action
Captain America: The First Avenger,tt0458339,Movie,2011,Action
Platinum Illusions,tt0469158,Movie,2011,Action
The Mechanic,tt0472399,Movie,2011,Action
Tower Heist,tt0471042,Movie,2011,Action
Super Monkey Ball 3D,tt0479105,Video Game,2011,Action
Season of the Witch,tt0479997,Movie,2011,Action
John Carter,tt0401729,Movie,2012,Action
Clutch,tt0475239,Movie,2012,Action
Red Tails,tt0485985,Movie,2012,Action
Jack Reacher,tt0790724,Movie,2012,Action
