Puntuación,Dirección,Guionista,Argumento,Nombre de la película,ID de la película,Genero
6.9,Desconocido,Hideaki AnnoYôji EnokidoMahiro Maeda,"Fourteen years have passed since the near Third Impact. Most of the world has changed, except for Shinji Ikari, who awakens in a strange new environment without having aged.",Evangelion Shin Gekijôban: Kyu,tt0860907,Action
6.9,Desconocido,James VanderbiltAlvin SargentSteve Kloves,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",The Amazing Spider-Man 3D,tt0948470,Action
3.7,Desconocido,Peter AtkinsAnthony Hickox,"A multinational expedition discovers a lost city beneath a pyramid, where they must stop the reawakened gods of ancient Egypt from initiating the Apocalypse.",Prisoners of the Sun,tt0496375,Action
7.1,Desconocido,David S. GoyerChristopher NolanJerry Siegel,An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.,Man of Steel,tt0770828,Action
7.0,Desconocido,Matthew Michael CarnahanDrew GoddardDamon Lindelof,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,World War Z,tt0816711,Action
5.1,Desconocido,Leone Marucci,Religious conspiracy collides with urban crime in a story told from multiple perspectives.,The Power of Few,tt0817545,Action
6.6,Desconocido,James V. HartWilliam JoyceDaniel Shere,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and evil is taking place. She bands together with a ragtag group of characters to save their world--and ours.,Epic,tt0848537,Action
6.4,Desconocido,Justin HaytheRic Roman Waugh,"A father goes undercover for the DEA in order to free his son, who was imprisoned after being set up in a drug deal.",Snitch,tt0882977,Action
3.4,Desconocido,A.C. MughilShiraz AhmedPrabhu Deva,"In order to escape crime and clutches of a ruthless mafia, a Bangkok based hit man seeks the help of his lookalike, a Mumbai based goon.",Action Jackson,tt0403935,Action
7.2,Desconocido,Richard WenkMichael SloanRichard Lindheim,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.,The Equalizer,tt0455944,Action
6.5,Desconocido,Frank Miller,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,Sin City: A Dame to Kill For,tt0458481,Action
